z1,,z0,,z2,,z3,
X,Y,X,Y,X,Y,X,Y
9.220232436103222,-0.3656290930007502,9.173121681689096,-0.15029508157260008,9.17381194915304,-0.5754628809654281,9.152796306038855,-0.6964332548495165
9.277852512655883,-0.3388607547380025,9.229292196567476,-0.13325823138612813,9.233433801351136,-0.5498786940300506,9.227766342173497,-0.6657522755115339
9.340455457463884,-0.3088224206079304,9.285462711445858,-0.11725168747443204,9.291431494810542,-0.5261988627101954,9.274817492900358,-0.6468107143828776
9.402381304384557,-0.28013691218551595,9.341633226324237,-0.09940531092920768,9.352123475282847,-0.5014319813462977,9.340397804442748,-0.6197969535973182
9.470916008149153,-0.24772351303148166,9.397803741202617,-0.08247885070074745,9.410487405852573,-0.47698277286810487,9.41144106484881,-0.5905863974352181
9.535618685676518,-0.21713728340317284,9.453974256080997,-0.06522122059825208,9.469995727217784,-0.4525021166240957,9.457937901284108,-0.5720238176207448
9.601376558834424,-0.1854561230319589,9.510144770959377,-0.046123757862228554,9.53330624553756,-0.42418598362055726,9.523809909659628,-0.5432696976486515
9.662062649059987,-0.15658149918147668,9.566315285837756,-0.02732066834756952,9.586790344486973,-0.3755531502260019,9.562629799975305,-0.511530255979749
9.731202926287196,-0.12297765548166839,9.622485800716138,-0.007855239084840315,9.655704922418405,-0.31344224035072044,9.610147269798151,-0.4446630462724579
9.791951004347515,-0.09390324302199304,9.678656315594518,0.011573393525218245,9.712606575860567,-0.2633866885566887,9.66159376672017,-0.3726633864362734
9.860485708112112,-0.0599225026136907,9.734826830472898,0.03155397592533549,9.767355684711221,-0.21440536385405973,9.718432978204245,-0.29365659259867916
9.921171798337676,-0.031044876931016874,9.790997345351277,0.05131377840942919,9.831939763805261,-0.1558971808110028,9.769006835860768,-0.22257541544344073
9.981633778699123,0.00047436108021770007,9.847167860229657,0.06750430558447817,9.884652619150511,-0.12964755984282883,9.79643320162983,-0.1866183139287585
10.044152937752456,0.0303554563812084,9.903338375108037,0.08428357920225604,9.9425618086474,-0.1012559661076391,,
10.100017538641133,0.057984007993529985,9.959508889986417,0.09940700344985842,9.996110322262007,-0.07459946080889046,,
10.16025410869438,0.08434555251201703,10.015679404864798,0.11537675070888398,10.04697308309668,-0.05047920346145396,,
10.223290968345669,0.10241658230512474,10.071849919743178,0.13127290466256858,,,,
10.281389236766444,0.11859645781755856,10.128020434621558,0.1477210084063112,,,,
10.339637365886626,0.13597706620661065,10.184190949499937,0.1579136811960581,,,,
10.402674225537915,0.15374791278056388,10.240361464378317,0.16858471047052215,,,,
10.46077249395869,0.17017222320002345,10.29381405111742,0.17736535537032228,,,,
10.522799496851462,0.18789375395940133,10.335790941268469,0.1820055007339061,,,,
10.54998302259538,0.19731518583437924,10.410684961106309,0.19379768912006357,,,,
,,10.466855475984689,0.20413027695028851,,,,
,,10.52350917808783,0.22818290086240034,,,,
,,10.579196505741448,0.25792698315465534,,,,
,,10.635367020619828,0.2894249178406596,,,,
,,10.69153753549821,0.32278634015119445,,,,
,,10.720656871218667,0.3389611405407714,,,,
