z0p0_obs,,z0p7_obs,,z3_obs,
X,Y,X,Y,X,Y
8.908327057557830,-0.40673563724411200,10.510814954276500,-0.013142789413975800,8.936715151745400,-0.36028616756913400
9.108835395373860,-0.41269916524153800,10.872361484669200,0.09618855720550630,9.379037999597640,-0.772872006520019
9.309343733189890,-0.45245601855771400,,,9.600096154925450,-0.3308546093838690
9.509852071005920,-0.414687007907347,,,9.961500770189190,-0.15002793272782700
9.719833243679400,-0.3252340879459520,,,10.252165762068500,-0.2896028856199710
9.909289940828400,-0.21391489866066100,,,10.380782542388000,-0.6412711141307060
10.109798278644400,-0.03302121607206370,,,10.561595228453500,-0.43193864247133000
10.310306616460500,0.08426150121065370,,,10.951632488082400,0.20931531129044500
10.510814954276500,0.18564147716690100,,,,
10.720796126950000,0.2373253864779290,,,,
10.911831629908600,0.2671430264650600,,,,
